fold,user_id,label,baseline_prob,baseline_raw_prob,baseline_logit,threshold,baseline_pred,valid_post_count,mode,trajectory_len,risk_mean,risk_std,risk_min,risk_max,risk_range,mean_abs_delta,max_abs_delta,spike_count_q75
0,depressy.trouble,1,0.3959252286352089,0.5148999094963074,0.05961737781763077,0.432703623143075,0,64,rolling,64,0.38491733950094503,0.10154593018981584,0.16763379326719116,0.4739206107738137,0.30628681750662257,0.00858621191868196,0.03899812437362438,16
0,shadoweffect_writing,1,0.43648958191533654,0.5430158972740173,0.1724899709224701,0.432703623143075,1,64,rolling,64,0.4267824657018485,0.04538248438398504,0.20675469001721158,0.484855033474519,0.27810034345730744,0.009939587955431851,0.07505079133957238,16
0,md_notes,1,0.4635452327775308,0.5612829923629761,0.24637046456336975,0.432703623143075,1,64,rolling,64,0.4542976816672378,0.0533176664437023,0.17258516658377362,0.4986805859509697,0.3260954193671961,0.009175154238132217,0.12765952819313606,16
0,choboo_theshiba,0,0.3578571442685308,0.48750755190849304,-0.04998023062944412,0.432703623143075,0,30,rolling,30,0.3514096018140087,0.014617642497802159,0.3101714741838512,0.39080367957768963,0.08063220539383842,0.008780383092643671,0.04974969745489738,7
0,jiali0624,1,0.454097992988556,0.554942786693573,0.2206622064113617,0.432703623143075,1,64,rolling,64,0.44862320443369097,0.04609757917294299,0.21407511432554,0.5176269740951357,0.3035518597695957,0.009583828959103148,0.12690351320001497,16
0,powxd01,0,0.4006176334356455,0.5182037949562073,0.07284732908010483,0.432703623143075,0,64,rolling,64,0.39469411815687533,0.04172105558891267,0.1480169868226982,0.426068746269281,0.2780517594465828,0.007489169423249799,0.11147777304719486,16
0,birdy_gotowhere,0,0.4292922847141628,0.5380961298942566,0.15268057584762573,0.432703623143075,0,25,rolling,25,0.43201797153574867,0.014768395175920598,0.4096413579590114,0.46931106265999484,0.05966970470098343,0.008857994301021813,0.03193217442788426,6
0,nana_0305nn,1,0.4495887809048316,0.5519025921821594,0.2083609402179718,0.432703623143075,1,64,rolling,64,0.4416340535705838,0.04725833067271971,0.15681825215596154,0.47922367932397086,0.32240542716800935,0.008502025324229074,0.12274261554919877,16
0,mr.w_write_,0,0.4062546134794473,0.5221536755561829,0.08867288380861282,0.432703623143075,0,64,rolling,64,0.3984115306338911,0.04158128381017863,0.16908726350715153,0.4214233357758458,0.25233607226869426,0.0049358195621840555,0.09382320538748845,16
0,taichung.life88,0,0.4054650058111019,0.5216016173362732,0.08646037429571152,0.432703623143075,0,64,rolling,64,0.3976489452607203,0.04108891570734659,0.1604346826016647,0.4447530730779458,0.2843183904762811,0.00961183955727528,0.10274583141799398,16
