window_id,username,split,window_label,window_type,window_start,window_end,n_posts_in_14d,n_high_risk_posts,mean_p_depression_tcal,anchor_post_ids,anchor_post_count,selected_post_ids,selected_post_count,prev_context_count,padding_needed,source_rule
w_000000,_kana.words_,train,1,positive_14d,2021-03-21 13:19:07+00:00,2021-04-04 13:19:07+00:00,3,2,0.9568841656049092,"[""2534305230168078689_37461076406"", ""2534912005095552356_37461076406"", ""2539510092803676875_37461076406""]",3,"[""2513367960569492588_37461076406"", ""2534305230168078689_37461076406"", ""2534912005095552356_37461076406"", ""2539510092803676875_37461076406""]",4,1,4,14d_plus_prev_context
w_000001,_kana.words_,train,1,positive_14d,2021-06-01 11:22:24+00:00,2021-06-15 11:22:24+00:00,7,5,0.7146268215424568,"[""2586430332158226626_37461076406"", ""2588806105909376631_37461076406"", ""2591888415076501143_37461076406"", ""2591897052406827760_37461076406"", ""2593396204600899588_37461076406"", ""2594445332554464333_37461076406"", ""2595937604974654349_37461076406""]",7,"[""2580742527746798320_37461076406"", ""2586430332158226626_37461076406"", ""2588806105909376631_37461076406"", ""2591888415076501143_37461076406"", ""2591897052406827760_37461076406"", ""2593396204600899588_37461076406"", ""2594445332554464333_37461076406"", ""2595937604974654349_37461076406""]",8,1,0,14d_plus_prev_context
w_000002,_kana.words_,train,1,positive_14d,2021-06-09 00:06:38+00:00,2021-06-23 00:06:38+00:00,10,10,0.9999974727630616,"[""2591888415076501143_37461076406"", ""2591897052406827760_37461076406"", ""2593396204600899588_37461076406"", ""2594445332554464333_37461076406"", ""2595937604974654349_37461076406"", ""2596747135115830704_37461076406"", ""2597021250036869923_37461076406"", ""2598163057462270326_37461076406"", ""2598166666551986038_37461076406"", ""2598769398455442078_37461076406""]",10,"[""2593396204600899588_37461076406"", ""2594445332554464333_37461076406"", ""2595937604974654349_37461076406"", ""2596747135115830704_37461076406"", ""2597021250036869923_37461076406"", ""2598163057462270326_37461076406"", ""2598166666551986038_37461076406"", ""2598769398455442078_37461076406""]",8,0,0,14d_plus_prev_context
w_000003,_midleave_,train,1,positive_14d,2023-07-01 16:20:25+00:00,2023-07-15 16:20:25+00:00,4,2,0.6563080549241291,"[""3137409889832130935_36103380252"", ""3140300469402764212_36103380252"", ""3142475215112427995_36103380252"", ""3146100991061750772_36103380252""]",4,"[""3125803414865120592_36103380252"", ""3128702507262238852_36103380252"", ""3129430634234064866_36103380252"", ""3135230353111630695_36103380252"", ""3137409889832130935_36103380252"", ""3140300469402764212_36103380252"", ""3142475215112427995_36103380252"", ""3146100991061750772_36103380252""]",8,4,0,14d_plus_prev_context
w_000004,adela.writing,train,1,positive_14d,2021-01-21 11:55:20+00:00,2021-02-04 11:55:20+00:00,7,3,0.6349174595361627,"[""2491501288066201256_42784527748"", ""2491613370321386366_42784527748"", ""2492954904547543142_42784527748"", ""2494452009661301085_42784527748"", ""2494457656159040667_42784527748"", ""2496622625222879242_42784527748"", ""2500093752662470981_42784527748""]",7,"[""2490633399436294966_42784527748"", ""2491501288066201256_42784527748"", ""2491613370321386366_42784527748"", ""2492954904547543142_42784527748"", ""2494452009661301085_42784527748"", ""2494457656159040667_42784527748"", ""2496622625222879242_42784527748"", ""2500093752662470981_42784527748""]",8,1,0,14d_plus_prev_context
w_000005,adela.writing,train,1,positive_14d,2021-01-21 15:38:01+00:00,2021-02-04 15:38:01+00:00,8,5,0.7183143908207583,"[""2491613370321386366_42784527748"", ""2492954904547543142_42784527748"", ""2494452009661301085_42784527748"", ""2494457656159040667_42784527748"", ""2496622625222879242_42784527748"", ""2500093752662470981_42784527748"", ""2501713775831122937_42784527748"", ""2501722564751946395_42784527748""]",8,"[""2491613370321386366_42784527748"", ""2492954904547543142_42784527748"", ""2494452009661301085_42784527748"", ""2494457656159040667_42784527748"", ""2496622625222879242_42784527748"", ""2500093752662470981_42784527748"", ""2501713775831122937_42784527748"", ""2501722564751946395_42784527748""]",8,0,0,14d_plus_prev_context
w_000006,adela.writing,train,1,positive_14d,2021-02-13 13:09:37+00:00,2021-02-27 13:09:37+00:00,19,12,0.6854687714835147,"[""2508208518941420978_42784527748"", ""2508936302307438445_42784527748"", ""2509982274793850026_42784527748"", ""2510383694852579290_42784527748"", ""2511135064601812304_42784527748"", ""2511830495640101680_42784527748"", ""2512264683748890139_42784527748"", ""2512553747991542855_42784527748"", ""2512892455924159402_42784527748"", ""2513277818542791798_42784527748"", ""2514004364865958720_42784527748"", ""2514728220425598646_42784527748"", ""2515251266114727148_42784527748"", ""2515453256623185738_42784527748"", ""2516085379558027509_42784527748"", ""2516214899336978977_42784527748"", ""2516902838391812010_42784527748"", ""2517626548259894965_42784527748"", ""2518351480941732157_42784527748""]",19,"[""2514728220425598646_42784527748"", ""2515251266114727148_42784527748"", ""2515453256623185738_42784527748"", ""2516085379558027509_42784527748"", ""2516214899336978977_42784527748"", ""2516902838391812010_42784527748"", ""2517626548259894965_42784527748"", ""2518351480941732157_42784527748""]",8,0,0,14d_plus_prev_context
w_000007,c.chienc,train,1,positive_14d,2021-10-18 14:49:26+00:00,2021-11-01 14:49:26+00:00,3,2,0.8357296188672384,"[""2687278369430863639_1473274919"", ""2695238800271456617_1473274919"", ""2696674211409645103_1473274919""]",3,"[""2582069210100655520_1473274919"", ""2656700477634603565_1473274919"", ""2656703984458713446_1473274919"", ""2658994431579297188_1473274919"", ""2665981406160954428_1473274919"", ""2687278369430863639_1473274919"", ""2695238800271456617_1473274919"", ""2696674211409645103_1473274919""]",8,5,0,14d_plus_prev_context
w_000008,c.chienc,train,1,positive_14d,2021-10-29 14:25:24+00:00,2021-11-12 14:25:24+00:00,3,3,0.9999964237213136,"[""2695238800271456617_1473274919"", ""2696674211409645103_1473274919"", ""2700337569295838758_1473274919""]",3,"[""2656700477634603565_1473274919"", ""2656703984458713446_1473274919"", ""2658994431579297188_1473274919"", ""2665981406160954428_1473274919"", ""2687278369430863639_1473274919"", ""2695238800271456617_1473274919"", ""2696674211409645103_1473274919"", ""2700337569295838758_1473274919""]",8,5,0,14d_plus_prev_context
w_000009,c.chienc,train,1,positive_14d,2021-10-31 13:57:18+00:00,2021-11-14 13:57:18+00:00,3,3,0.9999858140945436,"[""2696674211409645103_1473274919"", ""2700337569295838758_1473274919"", ""2705425275549977999_1473274919""]",3,"[""2656703984458713446_1473274919"", ""2658994431579297188_1473274919"", ""2665981406160954428_1473274919"", ""2687278369430863639_1473274919"", ""2695238800271456617_1473274919"", ""2696674211409645103_1473274919"", ""2700337569295838758_1473274919"", ""2705425275549977999_1473274919""]",8,5,0,14d_plus_prev_context
