fold,author,label,multimodal_probability,text_probability,delta_p,abs_delta_p,mean_similarity,median_similarity,sd_similarity,similarity_iqr,min_similarity,max_similarity,high_alignment_ratio,low_alignment_ratio,valid_post_count,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
0,thirty6____,1,0.948601602528052,0.8969008359753045,0.0517007665527475,0.0517007665527475,0.2846046984195709,0.2858961671590805,0.0152248194506136,0.018974006175994873,0.2435178160667419,0.3205204606056213,0.4375,0.0,64.0,64,64,1.0,1.0,0.0
0,forget_me_003,1,0.5261890886378382,0.4415578947327063,0.0846311939051319,0.0846311939051319,0.2476420539774392,0.2499900609254837,0.021950940409656,0.035391148179769516,0.2078553587198257,0.2890233993530273,0.02631578947368421,0.39473684210526316,38.0,38,38,0.59375,0.59375,26.0
0,tracy_y.n,1,0.8432469814781269,0.7918196561019972,0.0514273253761297,0.0514273253761297,0.2462511190678924,0.2386225387454033,0.0368896048419058,0.03330644220113749,0.1672361642122268,0.4350240230560303,0.09375,0.53125,64.0,64,64,1.0,1.0,0.0
0,_feifei_words_,1,0.9643763024971168,0.9501856026261984,0.0141906998709183,0.0141906998709183,0.2766253287936079,0.2800769805908203,0.0220954936731874,0.027603246271610316,0.2145061641931533,0.332670509815216,0.3103448275862069,0.05172413793103448,58.0,64,64,1.0,1.0,0.0
0,depression_no_heart,1,0.9717037224857664,0.9611046247424132,0.0105990977433532,0.0105990977433532,0.2735974348615855,0.2749492526054382,0.0213104946935559,0.029442906379699707,0.2233750820159912,0.3200656771659851,0.25,0.078125,64.0,64,64,1.0,1.0,0.0
0,moodie_raven,1,0.8136532871661183,0.7133459491468144,0.1003073380193039,0.1003073380193039,0.250673904541939,0.2498912662267685,0.0292417971964649,0.04529907554388052,0.1823919415473938,0.3059544563293457,0.1111111111111111,0.3968253968253968,63.0,63,64,0.984375,1.0,0.0
0,tuanzi.io,1,0.9459949858497816,0.9042353752859948,0.0417596105637867,0.0417596105637867,0.2504191140041631,0.2508454769849777,0.0233531514346323,0.033172510564327184,0.1994145810604095,0.2932750284671783,0.029411764705882353,0.3235294117647059,34.0,34,34,0.53125,0.53125,30.0
0,xyyc18.02,1,0.2230021024733084,0.3271005584379576,-0.1040984559646492,0.1040984559646492,0.2404304900765419,0.2384970337152481,0.0332036491598815,0.03815082460641858,0.1569525748491287,0.3100750148296356,0.08,0.52,50.0,50,56,0.78125,0.875,8.0
0,blue_tears_egg,1,0.9613612606728807,0.9103686175922134,0.0509926430806673,0.0509926430806673,0.2831211166922003,0.2889498621225357,0.0283428814368084,0.028432525694370325,0.173294648528099,0.3464401364326477,0.53125,0.109375,64.0,64,64,1.0,1.0,0.0
0,shuyu.minmin2.0,1,0.9709940319929552,0.9518106778783808,0.0191833541145743,0.0191833541145743,0.2846011579968035,0.2869312167167663,0.0146981923808385,0.016421742737293188,0.2161552608013153,0.3104791045188904,0.46875,0.015625,64.0,64,64,1.0,1.0,0.0
0,jiali0624,1,0.3196005188494282,0.3162937413079525,0.0033067775414756,0.0033067775414756,0.2478302344679832,0.2442110776901245,0.0322979320729008,0.05047073587775233,0.1836645752191543,0.3080695867538452,0.13333333333333333,0.43333333333333335,60.0,60,64,0.9375,1.0,0.0
0,ll_elara77,1,0.878745145968819,0.888848734594746,-0.0101035886259269,0.0101035886259269,0.2816771219950169,0.2848112732172012,0.0268157972362045,0.03939814865589142,0.2125183790922165,0.3338114321231842,0.484375,0.09375,64.0,64,64,1.0,1.0,0.0
0,painwords.yan,1,0.7777239664156053,0.4776060742122994,0.3001178922033058,0.3001178922033058,0.2817012062296271,0.2840278297662735,0.011743738916261,0.01254358142614359,0.2447037696838379,0.3027060627937317,0.328125,0.0,64.0,64,64,1.0,1.0,0.0
