user_id,fold,y_true,y_pred,error_type,y_raw_prob,y_prob,threshold,decision_margin,signed_margin,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
frog_egghead,4,0,0,TN,0.4178521037101745,0.2305569946765899,0.399370515080602,0.1688135204040121,-0.1688135204040121,64.0,64.0,1.0,1.0,0
so_hungryyyun,4,0,0,TN,0.4208803474903106,0.2340654283761978,0.399370515080602,0.16530508670440422,-0.16530508670440422,64.0,64.0,1.0,1.0,0
914_planet,4,0,0,TN,0.4563165605068207,0.2773313522338867,0.399370515080602,0.12203916284671529,-0.12203916284671529,26.0,26.0,0.40625,0.40625,38
keke_foodietw,2,0,0,TN,0.4704844653606415,0.3206786215305328,0.4276362376663735,0.1069576161358407,-0.1069576161358407,64.0,64.0,1.0,1.0,0
the_trip_addict,1,0,0,TN,0.4666122198104858,0.3358059823513031,0.4331182040279335,0.0973122216766304,-0.0973122216766304,64.0,64.0,1.0,1.0,0
sh_tree_,1,0,0,TN,0.4679921567440033,0.3376657366752624,0.4331182040279335,0.0954524673526711,-0.0954524673526711,45.0,45.0,0.703125,0.703125,19
jiminin185,2,0,0,TN,0.4795037806034088,0.3328773975372314,0.4276362376663735,0.0947588401291421,-0.0947588401291421,64.0,64.0,1.0,1.0,0
nichingsiew,1,0,0,TN,0.4728371202945709,0.344229906797409,0.4331182040279335,0.0888882972305245,-0.0888882972305245,64.0,64.0,1.0,1.0,0
156.melody,2,0,0,TN,0.4844631850719452,0.3396746814250946,0.4276362376663735,0.08796155624127888,-0.08796155624127888,64.0,64.0,1.0,1.0,0
hao_emo520,3,0,0,TN,0.4741640090942383,0.3088226318359375,0.3962877080277819,0.0874650761918444,-0.0874650761918444,64.0,64.0,1.0,1.0,0
