user_id,fold,y_true,y_pred,error_type,y_raw_prob,y_prob,threshold,decision_margin,signed_margin,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
morgan_stanley168,2,0,1,FP,0.5571879744529724,0.4459228515625,0.4276362376663735,0.018286613896126513,0.018286613896126513,20.0,20.0,0.3125,0.3125,44
talkheart_1999,3,1,0,FN,0.482301265001297,0.3199333548545837,0.3962877080277819,0.07635435317319822,-0.07635435317319822,21.0,21.0,0.328125,0.328125,43
oioi_writing,0,0,1,FP,0.5580278038978577,0.4586876928806305,0.432703623143075,0.025984069737555515,0.025984069737555515,23.0,23.0,0.359375,0.359375,41
ryy.1988,3,0,1,FP,0.5410837531089783,0.4057024717330932,0.3962877080277819,0.009414763705311302,0.009414763705311302,25.0,25.0,0.390625,0.390625,39
auroratravelergo,0,0,1,FP,0.5414313673973083,0.4341671168804168,0.432703623143075,0.0014634937373418366,0.0014634937373418366,26.0,26.0,0.40625,0.40625,38
foodie_tuna0415,3,0,1,FP,0.5425493121147156,0.4079544842243194,0.3962877080277819,0.011666776196537498,0.011666776196537498,31.0,31.0,0.484375,0.484375,33
allison220.wonderland,1,1,0,FN,0.5334650874137878,0.4305136203765869,0.4331182040279335,0.0026045836513465814,-0.0026045836513465814,31.0,31.0,0.484375,0.484375,33
zhuangcaiyu_,4,1,0,FN,0.5402204394340515,0.3951823711395263,0.399370515080602,0.004188143941075695,-0.004188143941075695,33.0,33.0,0.515625,0.515625,31
hug_molly.tw,1,1,0,FN,0.5350056886672974,0.4327952861785888,0.4331182040279335,0.0003229178493446838,-0.0003229178493446838,33.0,33.0,0.515625,0.515625,31
esther_ann9453,4,0,1,FP,0.5947659015655518,0.4815942049026489,0.399370515080602,0.08222368982204692,0.08222368982204692,38.0,38.0,0.59375,0.59375,26
imika_sumi_garden,2,0,1,FP,0.5525426864624023,0.4388095438480377,0.4276362376663735,0.011173306181664233,0.011173306181664233,44.0,44.0,0.6875,0.6875,20
rb_world,4,0,1,FP,0.5515264272689819,0.4125506579875946,0.399370515080602,0.013180142906992598,0.013180142906992598,45.0,45.0,0.703125,0.703125,19
edachen_yun,3,0,1,FP,0.5707221031188965,0.4521657526493072,0.3962877080277819,0.05587804462152529,0.05587804462152529,46.0,46.0,0.71875,0.71875,18
yzu_ebba,3,0,1,FP,0.5701184868812561,0.4512013494968414,0.3962877080277819,0.05491364146905947,0.05491364146905947,46.0,46.0,0.71875,0.71875,18
lalababy0313,0,0,1,FP,0.5759355425834656,0.4855881333351135,0.432703623143075,0.05288451019203855,0.05288451019203855,46.0,46.0,0.71875,0.71875,18
