experiment,fold,author,label,logit,calibration,threshold_strategy,threshold_selection_split,probability,threshold,prediction,source_file,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount,correct,error_type,signed_margin,decision_margin,confidence
bert_clip_w64_fold0,0,thirty6____,1,2.915381908416748,none,validation_f1,validation,0.948601602528052,0.3377087362054896,1,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold0_predictions.csv,64,64,1.0,1.0,0.0,True,TP,0.6108928663225625,0.6108928663225625,0.948601602528052
bert_clip_w64_fold0,0,forget_me_003,1,0.1048523113131523,none,validation_f1,validation,0.5261890886378382,0.3377087362054896,1,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold0_predictions.csv,38,38,0.59375,0.59375,26.0,True,TP,0.18848035243234862,0.18848035243234862,0.5261890886378382
bert_clip_w64_fold0,0,tracy_y.n,1,1.6825884580612185,none,validation_f1,validation,0.8432469814781269,0.3377087362054896,1,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold0_predictions.csv,64,64,1.0,1.0,0.0,True,TP,0.5055382452726374,0.5055382452726374,0.8432469814781269
bert_clip_w64_fold0,0,_feifei_words_,1,3.298470497131348,none,validation_f1,validation,0.9643763024971168,0.3377087362054896,1,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold0_predictions.csv,64,64,1.0,1.0,0.0,True,TP,0.6266675662916272,0.6266675662916272,0.9643763024971168
bert_clip_w64_fold0,0,depression_no_heart,1,3.536320686340332,none,validation_f1,validation,0.9717037224857664,0.3377087362054896,1,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold0_predictions.csv,64,64,1.0,1.0,0.0,True,TP,0.6339949862802768,0.6339949862802768,0.9717037224857664
bert_clip_w64_fold0,0,moodie_raven,1,1.4739253520965576,none,validation_f1,validation,0.8136532871661183,0.3377087362054896,1,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold0_predictions.csv,63,64,0.984375,1.0,0.0,True,TP,0.4759445509606287,0.4759445509606287,0.8136532871661183
bert_clip_w64_fold0,0,tuanzi.io,1,2.8631603717803955,none,validation_f1,validation,0.9459949858497816,0.3377087362054896,1,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold0_predictions.csv,34,34,0.53125,0.53125,30.0,True,TP,0.608286249644292,0.608286249644292,0.9459949858497816
bert_clip_w64_fold0,0,xyyc18.02,1,-1.2482564449310305,none,validation_f1,validation,0.2230021024733084,0.3377087362054896,0,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold0_predictions.csv,50,56,0.78125,0.875,8.0,False,FN,-0.11470663373218118,0.11470663373218118,0.7769978975266916
bert_clip_w64_fold0,0,blue_tears_egg,1,3.214094877243042,none,validation_f1,validation,0.9613612606728807,0.3377087362054896,1,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold0_predictions.csv,64,64,1.0,1.0,0.0,True,TP,0.6236525244673912,0.6236525244673912,0.9613612606728807
bert_clip_w64_fold0,0,shuyu.minmin2.0,1,3.510818719863892,none,validation_f1,validation,0.9709940319929552,0.3377087362054896,1,results/final_preprocessing_v2/methods/bert_clip/w64/bert_clip_w64_fold0_predictions.csv,64,64,1.0,1.0,0.0,True,TP,0.6332852957874656,0.6332852957874656,0.9709940319929552
