selection,author,fold,label,prediction,error_type,probability,threshold,signed_margin,decision_margin,confidence,text_valid_count,image_valid_count,text_valid_ratio,image_valid_ratio,padding_amount
largest_margin,theforlorn_1025,2,1,1,TP,0.9447750937886314,0.1330126093082226,0.8117624844804089,0.8117624844804089,0.9447750937886314,61,64,0.953125,1.0,0.0
largest_margin,blue.sea.life,2,1,1,TP,0.9433671811124472,0.1330126093082226,0.8103545718042247,0.8103545718042247,0.9433671811124472,64,64,1.0,1.0,0.0
largest_margin,lingluo_hope,2,1,1,TP,0.938754334996251,0.1330126093082226,0.8057417256880285,0.8057417256880285,0.938754334996251,50,50,0.78125,0.78125,14.0
largest_margin,fallstar_0022,2,1,1,TP,0.9372098794368704,0.1330126093082226,0.8041972701286478,0.8041972701286478,0.9372098794368704,64,64,1.0,1.0,0.0
largest_margin,shuyu.minmin,2,1,1,TP,0.933188789038805,0.1330126093082226,0.8001761797305824,0.8001761797305824,0.933188789038805,64,64,1.0,1.0,0.0
nearest_boundary,mao.ni_,4,1,1,TP,0.3713015216455591,0.3484527497514231,0.0228487718941359,0.0228487718941359,0.3713015216455591,19,20,0.296875,0.3125,44.0
nearest_boundary,vita_1021,1,1,1,TP,0.3651306061549038,0.3226178336968301,0.0425127724580736,0.0425127724580736,0.3651306061549038,64,64,1.0,1.0,0.0
nearest_boundary,althealan_and_painting,4,1,1,TP,0.3931981070487518,0.3484527497514231,0.0447453572973287,0.0447453572973287,0.3931981070487518,64,64,1.0,1.0,0.0
nearest_boundary,hanburger_itjan,0,1,1,TP,0.4056398053403803,0.3377087362054896,0.0679310691348907,0.0679310691348907,0.4056398053403803,23,23,0.359375,0.359375,41.0
nearest_boundary,sp1cy_jar,2,1,1,TP,0.2092617555863749,0.1330126093082226,0.0762491462781523,0.0762491462781523,0.2092617555863749,64,64,1.0,1.0,0.0
largest_margin,food.nius,3,0,0,TN,0.0306141987137997,0.5230274241234272,-0.4924132254096274,0.4924132254096274,0.9693858012862004,64,64,1.0,1.0,0.0
largest_margin,the_trip_addict,3,0,0,TN,0.0316531982662219,0.5230274241234272,-0.4913742258572052,0.4913742258572052,0.968346801733778,64,64,1.0,1.0,0.0
largest_margin,156.melody,3,0,0,TN,0.0359639249197469,0.5230274241234272,-0.4870634992036803,0.4870634992036803,0.9640360750802532,64,64,1.0,1.0,0.0
largest_margin,katyholajeng,3,0,0,TN,0.0368863260366472,0.5230274241234272,-0.4861410980867799,0.4861410980867799,0.9631136739633528,64,64,1.0,1.0,0.0
largest_margin,auroratravelergo,3,0,0,TN,0.0376286953143917,0.5230274241234272,-0.4853987288090354,0.4853987288090354,0.9623713046856084,26,26,0.40625,0.40625,38.0
nearest_boundary,hao_emo520,1,0,0,TN,0.3225074374637849,0.3226178336968301,-0.0001103962330452,0.0001103962330452,0.6774925625362151,64,64,1.0,1.0,0.0
nearest_boundary,sam945wang,2,0,0,TN,0.1304341590553323,0.1330126093082226,-0.0025784502528903,0.0025784502528903,0.8695658409446677,23,64,0.359375,1.0,0.0
nearest_boundary,tea0922,2,0,0,TN,0.1276505942849992,0.1330126093082226,-0.0053620150232233,0.0053620150232233,0.8723494057150007,57,64,0.890625,1.0,0.0
nearest_boundary,egghead__studio,2,0,0,TN,0.125477473548109,0.1330126093082226,-0.0075351357601135,0.0075351357601135,0.874522526451891,64,64,1.0,1.0,0.0
nearest_boundary,the_bard_mo,1,0,0,TN,0.3150520192409518,0.3226178336968301,-0.0075658144558783,0.0075658144558783,0.6849479807590482,52,64,0.8125,1.0,0.0
largest_margin,iamfinety2.0,0,0,1,FP,0.9107314588227756,0.3377087362054896,0.573022722617286,0.573022722617286,0.9107314588227756,64,64,1.0,1.0,0.0
largest_margin,knowmi_0.0,0,0,1,FP,0.90957003699769,0.3377087362054896,0.5718613007922004,0.5718613007922004,0.90957003699769,63,64,0.984375,1.0,0.0
largest_margin,lam_word,0,0,1,FP,0.908911426246945,0.3377087362054896,0.5712026900414554,0.5712026900414554,0.908911426246945,64,64,1.0,1.0,0.0
largest_margin,na.to.heart,0,0,1,FP,0.8533114233528094,0.3377087362054896,0.5156026871473198,0.5156026871473198,0.8533114233528094,64,64,1.0,1.0,0.0
largest_margin,elitesinsider,1,0,1,FP,0.8092561941623321,0.3226178336968301,0.4866383604655019,0.4866383604655019,0.8092561941623321,64,64,1.0,1.0,0.0
nearest_boundary,janniedudu,2,0,1,FP,0.1341895207519592,0.1330126093082226,0.0011769114437366,0.0011769114437366,0.1341895207519592,49,49,0.765625,0.765625,15.0
nearest_boundary,timton_footew,2,0,1,FP,0.1362131164505838,0.1330126093082226,0.0032005071423611,0.0032005071423611,0.1362131164505838,27,28,0.421875,0.4375,36.0
nearest_boundary,a900243b,2,0,1,FP,0.1364877972878248,0.1330126093082226,0.0034751879796022,0.0034751879796022,0.1364877972878248,64,64,1.0,1.0,0.0
nearest_boundary,pei.words,2,0,1,FP,0.1418922006165956,0.1330126093082226,0.008879591308373,0.008879591308373,0.1418922006165956,40,40,0.625,0.625,24.0
nearest_boundary,mr_bigbigsmart,2,0,1,FP,0.1450358028556884,0.1330126093082226,0.0120231935474658,0.0120231935474658,0.1450358028556884,64,64,1.0,1.0,0.0
largest_margin,si_je_meurs,3,1,0,FN,0.063907145610111,0.5230274241234272,-0.4591202785133161,0.4591202785133161,0.936092854389889,59,64,0.921875,1.0,0.0
largest_margin,depression_meem,3,1,0,FN,0.0806283564147476,0.5230274241234272,-0.4423990677086796,0.4423990677086796,0.9193716435852524,53,53,0.828125,0.828125,11.0
largest_margin,m_m12150605,3,1,0,FN,0.0915018417839109,0.5230274241234272,-0.4315255823395162,0.4315255823395162,0.9084981582160891,64,64,1.0,1.0,0.0
largest_margin,saya_wolf0309,3,1,0,FN,0.1290136979734483,0.5230274241234272,-0.3940137261499788,0.3940137261499788,0.8709863020265517,64,64,1.0,1.0,0.0
